Hz;1 Amp[mV];2 Amp[mV];Phase[degrees];Mean Amp 1;Mean Amp 2;Mean Phase;Std Dev Amp 1 ;Std Dev Amp 2;Std Dev Phase;Amp wyj[1]/wej[2];Amp MEAN wyj[1]/wej[2];Krzywa teoretyczna z wykad˘w AMP;odchylenie AMP;odchylenie AMP MEAN
100;888;984;-26.61;881;984;26.85;2.77;1.61;0.618;0.902439024;0.895325203;0.66809074;0.003178783;0.003173393
200;680;984;-42.48;794;984;34.23;99.9;1.22;9.011;0.691056911;0.806910569;0.501603795;0.101528006;0.101529319
300;536;984;-56.33;616;984;49.15;93.9;0.368;7.579;0.544715447;0.62601626;0.401540632;0.095427047;0.095427116
400;424;984;-60.65;434;984;60.97;36.9;0.0447;2.644;0.430894309;0.441056911;0.334760455;0.037500005;0.037500005
500;360;984;-66.51;412;984;62.7;34.4;0.0229;3.209;0.365853659;0.418699187;0.287025308;0.034959351;0.034959351
600;304;984;-69.42;309;984;66.61;19.2;1.15;25.05;0.308943089;0.31402439;0.251204778;0.019515535;0.019515646
700;256;984;-67.04;257;984;50.55;8.59;0.0355;63.8;0.260162602;0.261178862;0.223332998;0.00872968;0.00872968
800;280;984;-71.64;255;984;60.35;18.4;1.38;68.42;0.284552846;0.259146341;0.201028408;0.018703445;0.018702719
900;200;984;-76.1;211;984;35.03;17.1;0.219;127.5;0.203252033;0.214430894;0.182774458;0.017378108;0.017378114
1000;248;984;-78.96;218;984;32.11;24;0.15;117;0.25203252;0.221544715;0.167559573;0.024390274;0.024390267
2000;94;984;-82.64;95.3;984;73.55;0.977;7.29;44.88;0.095528455;0.096849593;0.091440666;0.001219303;0.00122501
3000;64;984;-80.58;90.8;984;80.05;11.3;3.1;17.6;0.06504065;0.092276423;0.062876947;0.011485568;0.011487419
4000;60;984;-76.69;67;984;57.33;12;1.2;72.07;0.06097561;0.068089431;0.047910832;0.012195349;0.012195405
5000;36.8;984;-84.27;45.1;984;88.24;3.91;1.31;42.24;0.037398374;0.045833333;0.038699491;0.003973889;0.003974046
6000;31.2;984;-84.47;32.1;984;87.84;2.72;0.437;123;0.031707317;0.032621951;0.032458933;0.002764264;0.002764266
7000;37.2;984;-82.75;29.7;984;85.88;4.1;0.384;64.75;0.037804878;0.030182927;0.027951554;0.004166693;0.004166683
8000;23.6;984;-158.6;29.2;984;111.8;4.99;0.135;41.01;0.02398374;0.029674797;0.024543363;0.005071139;0.00507114
9000;20.4;984;-76.32;24;984;111.3;4.83;0.549;61.16;0.020731707;0.024390244;0.021875979;0.00490855;0.004908555
10000;17.2;984;-131.9;22.6;984;106.7;4.72;0.181;80.57;0.017479675;0.02296748;0.019731546;0.004796749;0.00479675
20000;7.2;984;-108.1;12.6;984;54;4.17;0.23;122.3;0.007317073;0.012804878;0.009964076;0.004237805;0.004237806
